Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
10.0.0.8-10.0.0.254-43083-1883-6,10.0.0.8,43083,10.0.0.254,1883,6,07/09/2023 01:50:33 PM,24996069,6,6,105.0,0.0,18.0,17.0,17.5,0.5477225575051665,0.0,0.0,0.0,0.0,4.200660511858885,0.4800754870695868,2272369.909090909,2610705.2804921297,5007599.0,16.0,24996051.0,4999210.2,7114.035612786862,5007686.0,4989383.0,24995982.0,4999196.4,7110.907698740031,5007638.0,4989363.0,1,0,0,0,192,192,0.2400377435347934,0.2400377435347934,0.0,18.0,9.384615384615383,9.051136775183377,81.92307692307693,0,0,0,6,12,0,0,0,1.0,10.166666666666666,17.5,0.0,0,0,0,0,0,0,1,21,1,0,502,64,5,32,2494744.5,3527978.46997576,4989402.0,87.0,5005931.0,2358.9082220383225,5007599.0,5004263.0,Recon Ping Sweep,1
10.0.0.1-10.0.0.254-43839-1883-6,10.0.0.1,43839,10.0.0.254,1883,6,07/09/2023 01:50:48 PM,17,1,1,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,3058823.529411765,117647.0588235294,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,58823.52941176471,58823.52941176471,0.0,52.0,34.66666666666667,30.02221399786054,901.3333333333331,0,0,0,1,2,0,0,0,1.0,52.0,52.0,0.0,0,0,0,0,0,0,0,0,0,0,502,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon Ping Sweep,1
10.0.0.6-10.0.0.254-35017-1883-6,10.0.0.6,35017,10.0.0.254,1883,6,07/09/2023 01:50:38 PM,19988742,3,3,44.0,0.0,15.0,14.0,14.666666666666666,0.5773502691896257,0.0,0.0,0.0,0.0,2.201239077476712,0.3001689651104607,3997748.4,5474049.339238348,9994667.0,25.0,19988717.0,9994358.5,563.5641046056784,9994757.0,9993960.0,19988653.0,9994326.5,516.8950570473662,9994692.0,9993961.0,1,0,0,0,96,96,0.1500844825552303,0.1500844825552303,0.0,15.0,8.285714285714285,7.761320457119087,60.23809523809524,0,0,0,3,6,0,0,0,1.0,9.666666666666666,14.666666666666666,0.0,0,0,0,0,0,0,1,22,1,0,502,64,2,32,89.5,0.7071067811865476,90.0,89.0,9994269.0,562.8569978244918,9994667.0,9993871.0,Recon Ping Sweep,1
192.168.137.174-64.233.181.206-43128-443-6,192.168.137.174,43128,64.233.181.206,443,6,07/09/2023 01:50:37 PM,20270819,4,3,24.0,24.0,24.0,0.0,6.0,12.0,24.0,0.0,8.0,13.856406460551018,2.3679358983966066,0.3453239851828384,3378469.833333333,5815019.891824151,14717373.0,52721.0,19986820.0,6662273.333333334,7657667.442176783,15053820.0,52721.0,19934372.0,9967186.0,7193699.926713096,15053900.0,4880472.0,0,0,0,0,128,96,0.1973279915330505,0.1479959936497879,0.0,24.0,6.0,11.109841197270615,123.42857142857144,0,0,0,2,7,0,0,0,0.0,6.857142857142857,6.0,8.0,0,0,0,0,0,0,2,12,1,12,491,399,1,32,336447.0,0.0,336447.0,336447.0,14717373.0,0.0,14717373.0,14717373.0,Recon Ping Sweep,1
192.168.137.174-34.173.20.6-34922-443-6,192.168.137.174,34922,34.173.20.6,443,6,07/09/2023 01:50:44 PM,15052965,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1992962848183065,7526482.5,10167753.571724312,14716170.0,336795.0,15052965.0,15052965.0,0.0,15052965.0,15052965.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,0.132864189878871,0.0664320949394355,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,295,331,0,32,336795.0,0.0,336795.0,336795.0,14716170.0,0.0,14716170.0,14716170.0,Recon Ping Sweep,1
192.168.137.233-44.240.74.103-40101-8883-6,192.168.137.233,40101,44.240.74.103,8883,6,07/09/2023 01:50:32 PM,22814668,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175325803557606,7604889.333333334,12677796.716086172,22243948.0,284592.0,22528540.0,22528540.0,0.0,22528540.0,22528540.0,22530076.0,22530076.0,0.0,22530076.0,22530076.0,0,0,0,0,64,64,0.087662901778803,0.087662901778803,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,6216,27,0,32,284592.0,0.0,284592.0,284592.0,22243948.0,0.0,22243948.0,22243948.0,Recon Ping Sweep,1
10.0.0.9-10.0.0.254-35905-1883-6,10.0.0.9,35905,10.0.0.254,1883,6,07/09/2023 01:50:33 PM,24994542,6,6,148.0,0.0,25.0,24.0,24.666666666666668,0.5163977794943223,0.0,0.0,0.0,0.0,5.921292736630261,0.4801048164835347,2272231.090909091,2610564.5665414003,5008016.0,13.0,24994470.0,4998894.0,7287.203819024124,5008029.0,4989036.0,24994529.0,4998905.8,7285.293075779435,5008044.0,4989035.0,1,0,0,0,192,192,0.2400524082417673,0.2400524082417673,0.0,25.0,13.23076923076923,12.75508948194044,162.69230769230768,0,0,0,6,12,0,0,0,1.0,14.333333333333334,24.666666666666668,0.0,0,0,0,0,0,0,1,29,1,0,502,64,5,32,2494538.0,3527791.0866787448,4989063.0,13.0,5005738.5,3220.871388304724,5008016.0,5003461.0,Recon Ping Sweep,1
10.0.0.4-10.0.0.254-39035-1883-6,10.0.0.4,39035,10.0.0.254,1883,6,07/09/2023 01:50:48 PM,42,1,1,15.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,357142.8571428572,47619.04761904762,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,23809.52380952381,23809.52380952381,0.0,15.0,10.0,8.660254037844387,75.0,0,0,0,1,2,0,0,0,1.0,15.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,502,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon Ping Sweep,1
192.168.137.174-64.233.181.206-34144-8883-6,192.168.137.174,34144,64.233.181.206,8883,6,07/09/2023 01:50:55 PM,337024,2,1,31.0,31.0,31.0,0.0,15.5,21.920310216782973,31.0,31.0,31.0,0.0,183.96315989365743,8.901443220660843,168512.0,166523.64696943195,286262.0,50762.0,50762.0,50762.0,0.0,50762.0,50762.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,32,5.9342954804405625,2.9671477402202813,0.0,31.0,23.25,15.500000000000002,240.25000000000003,0,0,0,2,3,0,0,0,0.0,31.0,15.5,31.0,0,0,0,0,0,0,0,0,0,0,316,265,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon Ping Sweep,1
10.0.0.14-10.0.0.254-36405-1883-6,10.0.0.14,36405,10.0.0.254,1883,6,07/09/2023 01:50:30 PM,26997185,10,10,220.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,8.148997756617957,0.7408179778743598,1420904.4736842106,1538779.9227923462,3012231.0,12.0,26997166.0,2999685.111111111,6843.383619315158,3012292.0,2990674.0,26997154.0,2999683.777777778,6821.693773869101,3012258.0,2990714.0,1,0,0,0,320,320,0.3704089889371799,0.3704089889371799,0.0,22.0,11.523809523809522,11.258858945821498,126.76190476190476,0,0,0,10,20,0,0,0,1.0,12.1,22.0,0.0,0,0,0,0,0,0,1,24,1,0,502,64,9,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon Ping Sweep,1
